source_idx,question,old_answer,new_answer,old_time,new_time,old_evidence,new_evidence,flag,verdict,note
3601,what league does the Jamaica Premier League operate on a system of promotion and relegation with?,JFF National Tier II,Jamaica Football Championship,2024-06-01,2024-07-01 00:00:00,"…4 clubs, it operates on a system of promotion and relegation with JFF National Tier II.KSAFA teams strong challengers for DPL title – Jamaica Observer Most games are played on Sunday afternoons and Mo…","…4 clubs, it operates on a system of promotion and relegation with Jamaica Football Championship.KSAFA teams strong challengers for DPL title – Jamaica Observer Most games are played on Sunday afternoo…",,g,
3602,what tournament does the third place team qualify for?,CONCACAF Caribbean Shield,CFU Club Shield,2024-08-01,2024-09-01 00:00:00,…b tournament held each fall. The third place team qualify for the CONCACAF Caribbean Shield.,…b tournament held each fall. The third place team qualify for the CFU Club Shield. A top-three finish in the CONCACAF Caribbean Cup is the only route for Jamaican teams to enter the CONCACAF Champions…,,g,
3610,what was the descent of Mithridates I Callinicus?,Armenian,Iranian,2024-09-01,2024-10-01 00:00:00,"Mithridates I Callinicus () was a king of Orontid Armenian; ; ; ; descent who lived during the late 2nd century BC and early 1st century BC. Mithridates was a prince, the son, and successor of King of…","Mithridates I Callinicus () was a king of Orontid Iranian; ; ; ; descent who lived during the late 2nd century BC and early 1st century BC. Mithridates was a prince, the son, and successor of King of …",,c,
3623,what country did David Lloyd George decide to intervene against on behalf of Greece at the Ritz?,Turkey,The Ottoman Empire,2024-09-01,2024-10-01 00:00:00,…hat he made the decision to intervene on behalf of Greece against Turkey.,…hat he made the decision to intervene on behalf of Greece against the Ottoman Empire.,,c,
3644,what team did Nikolai Puchkov work with for three years until his sudden death on the way to a training session?,SKA Leningrad,SKA St Petersburg,2024-06-01,2024-07-01 00:00:00,"…ched Swedish and Finnish clubs. He worked with the junior team of SKA Leningrad for three years until his sudden death on the way to a training session. In 2007, a goaltending school named after Puchk…","…ched Swedish and Finnish clubs. He worked with the junior team of SKA St Petersburg for three years until his sudden death on the way to a training session. In 2007, a goaltending school named after P…",,c,
3645,how many years had Toyota Gazoo Racing won the 24 Hours of Le Mans before the 499P finished first?,Six years,Five years,2024-08-01,2024-09-01 00:00:00,"…cipline, one of the cars was numbered ""50"", referencing the fifty years that had elapsed since a works Ferrari competed in an endurance race. The 499P finished first at the 2023 24 Hours of Le Mans, e…","…cipline, one of the cars was numbered ""50"", referencing the fifty years that had elapsed since a works Ferrari competed in an endurance race. The 499P finished first at the 2023 24 Hours of Le Mans, e…",수치?,c,
3647,"in what month was ""Willy and the Poor Boys"" released after ""Green River""?",November,October,2024-08-01,2024-09-01 00:00:00,"…you Country in January and followed by Willy and the Poor Boys in November. Background In January 1969, Creedence Clearwater Revival released their second studio album Bayou Country featuring their br…","…you Country in January and followed by Willy and the Poor Boys in October. Background In January 1969, Creedence Clearwater Revival released their second studio album Bayou Country featuring their bre…",,c,
3651,who is the principal of Trinity Catholic Jr./Sr. High School?,Dan Dester,Joseph Godina,2024-08-01,2024-09-01 00:00:00,…s a 2A school with around 250 students. The school's principal is Dan Dester. Extracurricular activities The school is classified as a 2A school in Kansas according to the Kansas State High School Act…,…s a 2A school with around 250 students. The school's principal is Joseph Godina. Extracurricular activities The school is classified as a 2A school in Kansas according to the Kansas State High School …,,g,
3652,where was Chase preparing to return when he received a telephone call telling him that his friend was missing?,Kauai,Hawaii,2024-06-01,2024-07-01 00:00:00,"Death Chevy Chase and Kenney went to Kauai, Hawaii, on August 26, 1980. After Chase left for work in Los Angeles, Kenney's girlfriend, Kathryn Walker, came to keep him company, but she also had to ret…","…it, she returned to Los Angeles. Chase was preparing to return to Hawaii when he received a telephone call telling him that his friend was missing. Kenney had traveled alone to the island of Kauai on …",,c,
3664,who married Shaikh Abdul Shahnaz?,Aishah,Sinclair,2024-08-01,2024-09-01 00:00:00,"Due to her father’s career, Aishah grew up in England and Saudi Arabia, before moving back to Malaysia in 1986. She was a British citizen before becoming a Malaysian citizen when she was sixteen years…","Due to her father's career, Sinclair grew up in England and Saudi Arabia, before moving back to Malaysia in 1986. She was a British citizen before becoming a Malaysian citizen when she was sixteen yea…",,c,
3667,which championship did Ferrari lead over McLaren going into the event?,World Drivers' Championship,World Constructors' Championship,2024-08-01,2024-09-01 00:00:00,"…third. Going into the event, Ferrari's Michael Schumacher led the World Drivers' Championship from Coulthard while Ferrari led McLaren in the World Drivers' Championship.",…ers' Championship from Coulthard while Ferrari led McLaren in the World Constructors' Championship.,,g,
3677,what committee did Nenadić's faction gain a majority in?,GNE,CNC,2024-11-01,2024-12-01 00:00:00,"…lian occupier and local civic administration. Zelenaši members of GNE led by Voja Nenadić wanted to limit Đukanović's pro-Chetnik influence. Nenadić's faction gained majority in GNE, however, with gre…","…lian occupier and local civic administration. Zelenaši members of CNC led by Voja Nenadić wanted to limit Đukanović's pro-Chetnik influence. Nenadić's faction gained majority in CNC, however, with gre…",,c,
3678,which organization did Zelenaši members led by Voja Nenadić want to limit Đukanović's pro-Chetnik influence in?,GNE,CNC,2024-11-01,2024-12-01 00:00:00,"…. As the leader of the Montenegrin Chetniks, on 24 July 1942 he signed a deal with the Italian army represented by General Pirzio Biroli whereby he became the head of the Central Nationalist Committee…","… whereby he became the head of the Central Nationalist Committee (CNC), which also included Zelenaši forces. This post made him de facto leader of Montenegro and he held it until 19 October 1943, near…",,c,
3680,how many games do visiting teams play at Fenway Park at most?,9 games,7 games,2024-09-01,2024-10-01 00:00:00,"…tage over their opponents, given that the Red Sox hitters play 81 games at the home stadium while each opponent plays no more than nine games as visiting teams but Will does not share this view.","…tage over their opponents, given that the Red Sox hitters play 81 games at the home stadium while each opponent plays no more than seven games as visiting teams but Will does not share this view. Fenw…",수치?,c,
3682,what type of voting system is used in single-member seats for the Legislative Assembly in Victoria?,Instant-runoff voting,Full preferential voting,2024-11-01,2024-12-01 00:00:00,"…ve Council (upper house). Victoria has compulsory voting and uses instant-runoff voting in single-member seats for the Legislative Assembly, and single transferable vote in multi-member seats for the …","…ve Council (upper house). Victoria has compulsory voting and uses full preferential voting in single-member seats for the Legislative Assembly, and single transferable vote in multi-member seats for t…",,c,
