source_idx,question,old_answer,new_answer,old_time,new_time,old_evidence,new_evidence,flag,verdict,note
0,what is the name of the yeast that can be used to ferment gluconolactone to ethanol and carbon dioxide?,Saccharomyces bulderi,Maudiozyma bulderi,2024-06-01,2024-07-01 00:00:00,… of hydrolysis of GDL is increased by heat and high pH. The yeast Saccharomyces bulderi can be used to ferment gluconolactone to ethanol and carbon dioxide. The pH value greatly affects culture growth…,… of hydrolysis of GDL is increased by heat and high pH. The yeast Maudiozyma bulderi can be used to ferment gluconolactone to ethanol and carbon dioxide. The pH value greatly affects culture growth. G…,,c,
6,who is the current Master of the Horse?,Lord de Mauley,The Lord Ashton of Hyde,2024-06-01,2024-07-01 00:00:00,… of the Stool in carrying the royal train. Modern role thumb|left|Lord de Mauley as Master of the Horse during the coronation of Charles III in 2023 The current Master of the Horse is Lord de Mauley. …,"…onation of Charles III in 2023 The current Master of the Horse is The Lord Ashton of Hyde. Today the Master of the Horse has a primarily ceremonial office, and rarely appears except on state occasions…",,g,
11,"what television network did Jill Whelan work for as an associate producer when she met her first husband, Brad St. John?",UPN News,KCOP-TV,2024-10-01,2024-11-01 00:00:00,"…et her first husband, Brad St. John, as an associate producer for UPN News in Los Angeles, shortly after leaving Madison Square Garden. They married in December 1993. Soon after their wedding, she bec…","…et her first husband, Brad St. John, as an associate producer for KCOP-TV in Los Angeles, shortly after leaving Madison Square Garden. They married in December 1993.",,c,
12,against which campaign did Sargon work to retain the loyalty of his northern vassals and curb the influence of Elam following?,Rusa,Urartu,2024-10-01,2024-11-01 00:00:00,"…dler on a rock relief In the years following the campaign against Rusa, Sargon worked to retain the loyalty of his northern vassals and to curb the influence of Elam; though Elam itself did not pose a…","…dler on a rock relief In the years following the campaign against Urartu, Sargon worked to retain the loyalty of his northern vassals and to curb the influence of Elam; though Elam itself did not pose…",,c,
17,how many grass runways does Whanganui Airport have?,four,three,2024-09-01,2024-10-01 00:00:00,"… centre of Whanganui. The airport has a single asphalt runway and four grass runways, and its single terminal has two gates. History The airport opened in 1954, and services to the airport began in No…","… centre of Whanganui. The airport has a single asphalt runway and three grass runways, and its single terminal has two gates. History The airport opened in 1954, and services to the airport began in N…",수치?,c,
25,what is the nearest airport to Kuppalli?,Mangalore International Airport,Shivamogga Airport,2024-10-01,2024-11-01 00:00:00,…om Bengaluru and Mysore to Shimoga. By air The nearest airport is Mangalore International Airport. References External links Official site dedicated to Kuvempu Category:Villages in Shimoga district,…om Bengaluru and Mysore to Shimoga. By air The nearest airport is Shivamogga Airport. References External links Official site dedicated to Kuvempu Category:Villages in Shimoga district,,g,
27,which serpent helps the king tie the boat to the fish's horn?,Vasuki serpent,Shesha serpent,2024-07-01,2024-08-01 00:00:00,…sh asks the king to tie the boat to its horn with the help of the Vasuki serpent. The deluge comes.,…sh asks the king to tie the boat to its horn with the help of the Shesha serpent. The deluge comes.,,c,
30,what type of large venue does Lorimer Hall contain?,A large auditorium,A large Performing Arts Center,2024-09-01,2024-10-01 00:00:00,"…ologist office, and the High School office. Lorimer Hall contains a large auditorium and additional Middle School classrooms.","…ologist office, and the High School office. Lorimer Hall contains a large Performing Arts Center and additional Middle School classrooms. The Performing Arts Center can accommodate all of the 7–12 stu…",,c,
35,in which Yuga is Vamana the first Dashavatara?,Satya Yuga,Treta Yuga,2024-06-01,2024-07-01 00:00:00,"…He is the fifth avatar of Vishnu and the first Dashavatara in the Satya Yuga, after Narasimha. First mentioned in the Vedas, Vamana is most commonly associated in the Hindu epics and Puranas with the …","…He is the fifth avatar of Vishnu and the first Dashavatara in the Treta Yuga, after Narasimha. First mentioned in the Vedas, Vamana is most commonly associated in the Hindu epics and Puranas with the …",,c,
40,what is the name of the significant religious festival based on the birthday of Gautam Buddha?,Buddha Jayanti,SakaSaga Dawa,2024-10-01,2024-11-01 00:00:00,"…is celebrated to welcome the Tamang new year. Also significant is Buddha Jayanti, a religious festival based on birthday of Gautam Buddha.","…is celebrated to welcome the Tamang new year. Also significant is sakaSaga Dawa, a religious festival based on birthday of Gautam Buddha. Tamang people in Nepal The 2011 Nepal census classifies the Ta…",,c,
43,how many schools does the university have?,Seven,Nine,2024-11-01,2024-12-01 00:00:00,… reduce the costs of electricity. Organisation The university has seven schools and two faculties Faculty of Law This is the newest school established at the Miotso campus. Bachelor of Laws (LL.B) Sch…,…embers of the University Council. Organisation The university has nine schools and two faculties Faculty of Law This is the newest school established at the Miotso campus.,수치?,c,
45,"what time period are the ancient Lakshmi terracotta figurines from at the archaeological sites of Vaisali, Sravasti, Kausambi, Campa, and Candraketugadh?",1st millennium BCE,3rd century BCE,2024-10-01,2024-11-01 00:00:00,"…ological sites with ancient Lakshmi terracotta figurines from the 1st millennium BCE include Vaisali, Sravasti, Kausambi, Campa, and Candraketugadh.Vishnu, Asha. 1993. Material life of northern India:…","…ological sites with ancient Lakshmi terracotta figurines from the 3rd century BCE include Vaisali, Sravasti, Kausambi, Campa, and Candraketugadh.Vishnu, Asha. 1993. Material life of northern India: Ba…",,c,
